Date,Open,High,Low,Close,Volume
2022-01-03,1795.5,1839.29,1770.87,1800.0,13499298
2022-01-04,1814.48,1836.59,1790.17,1812.49,6344491
2022-01-05,1822.36,1857.88,1803.49,1820.81,11019518
2022-01-06,1848.6,1861.77,1805.99,1851.01,14821401
2022-01-07,1873.79,1888.03,1849.43,1874.05,7672121
2022-01-10,1878.21,1898.77,1841.7,1881.72,5063627
2022-01-11,1865.71,1896.83,1838.56,1872.42,10096637
2022-01-12,1871.7,1918.21,1843.21,1877.08,3763357
2022-01-13,1867.84,1897.6,1845.94,1875.23,6934299
2022-01-14,1898.83,1929.65,1860.64,1895.36,10455578
2022-01-17,1916.13,1949.76,1869.34,1913.06,12366185
2022-01-18,1915.9,1939.2,1865.18,1907.3,8517010
2022-01-19,1881.44,1899.92,1831.45,1877.13,12593668
2022-01-20,1896.62,1936.67,1875.44,1905.15,2216953
2022-01-21,1925.23,1940.58,1906.52,1917.86,12576964
2022-01-24,1918.57,1924.41,1868.27,1911.64,3904936
2022-01-25,1922.5,1971.4,1911.9,1923.59,2528474
2022-01-26,1927.37,1940.24,1905.82,1925.72,10258011
2022-01-27,1963.5,1966.8,1930.26,1954.2,10607642
2022-01-28,1913.9,1956.47,1890.15,1913.29,12375219
2022-01-31,1913.22,1926.52,1889.36,1905.49,8265584
2022-02-01,1931.49,1974.5,1895.24,1939.58,9838889
2022-02-02,1946.16,1974.79,1923.09,1952.19,10295252
2022-02-03,1989.67,2016.4,1968.84,1990.85,5673024
2022-02-04,1966.39,1984.84,1938.66,1964.72,4154267
2022-02-07,1994.8,2012.1,1971.92,1988.51,13715247
2022-02-08,2021.11,2037.87,1963.92,2011.29,4985977
2022-02-09,1972.54,2013.07,1952.65,1974.74,12774646
2022-02-10,1960.06,1998.96,1940.77,1968.97,12741209
2022-02-11,1973.24,2014.28,1933.05,1967.32,4456979
2022-02-14,1934.95,1944.21,1897.76,1932.93,14532568
2022-02-15,1921.94,1956.78,1903.49,1927.75,14531040
2022-02-16,1946.82,1979.41,1932.95,1946.92,12401432
2022-02-17,1943.93,1984.61,1909.99,1939.23,10798983
2022-02-18,1950.33,1956.71,1928.53,1945.07,9969028
2022-02-21,1951.09,1983.23,1918.01,1951.09,5299798
2022-02-22,1947.73,1994.6,1906.74,1951.53,11276595
2022-02-23,1946.27,1956.15,1891.05,1937.09,9184477
2022-02-24,1955.02,1995.8,1905.04,1951.83,14170997
2022-02-25,1916.71,1928.79,1885.1,1918.47,4197526
2022-02-28,1915.14,1957.07,1884.32,1919.36,13206346
2022-03-01,1953.83,1995.45,1928.58,1949.32,6662110
2022-03-02,1935.45,1975.66,1920.77,1940.46,2318154
2022-03-03,1919.34,1952.2,1879.48,1925.66,1816460
2022-03-04,1942.34,1953.21,1901.8,1941.76,13125182
2022-03-07,1941.9,1991.53,1908.01,1945.99,7053643
2022-03-08,1965.22,1990.96,1935.11,1962.69,11553333
2022-03-09,1956.77,1975.23,1920.84,1964.27,3564660
2022-03-10,1916.39,1949.39,1870.72,1913.43,8331426
2022-03-11,1934.8,1967.38,1927.13,1939.0,6420278
2022-03-14,1974.0,1998.76,1966.22,1983.91,13928035
2022-03-15,2005.2,2031.4,1969.66,2012.71,6211536
2022-03-16,1943.54,1947.32,1902.5,1935.15,9667355
2022-03-17,1952.66,1977.59,1910.71,1945.51,11813845
2022-03-18,1931.13,1970.06,1918.52,1936.29,5236901
2022-03-21,1919.29,1942.89,1885.65,1913.97,9058630
2022-03-22,1919.39,1958.23,1874.28,1917.31,1870670
2022-03-23,1923.95,1957.48,1895.36,1914.93,5630239
2022-03-24,1923.97,1959.76,1893.54,1926.41,6990026
2022-03-25,1931.87,1938.51,1890.31,1928.38,2352471
2022-03-28,1897.05,1941.39,1872.05,1905.37,9252926
2022-03-29,1892.08,1919.35,1865.55,1894.05,13669890
2022-03-30,1888.15,1910.09,1845.34,1879.43,4425565
2022-03-31,1845.41,1877.87,1807.5,1844.7,8822789
2022-04-01,1813.75,1839.42,1786.65,1817.6,4314497
2022-04-04,1807.22,1856.45,1769.45,1814.11,11842428
2022-04-05,1846.99,1857.4,1825.64,1843.24,7651469
2022-04-06,1835.78,1866.9,1793.56,1833.12,8666001
2022-04-07,1816.28,1827.83,1774.71,1818.58,6635499
2022-04-08,1803.77,1837.86,1774.25,1795.67,2880414
2022-04-11,1788.4,1810.01,1779.88,1796.99,9626686
2022-04-12,1817.43,1833.57,1805.12,1821.01,4385868
2022-04-13,1869.68,1883.55,1833.67,1861.84,4813209
2022-04-14,1865.08,1891.72,1829.38,1868.42,3885201
2022-04-15,1867.39,1889.42,1852.83,1872.03,1043016
2022-04-18,1862.21,1892.67,1841.08,1861.57,11929648
2022-04-19,1860.59,1880.29,1817.36,1854.59,2334996
2022-04-20,1860.73,1878.76,1855.19,1868.14,6998127
2022-04-21,1870.64,1883.61,1819.72,1862.39,12868720
2022-04-22,1865.27,1899.23,1849.84,1859.78,12378484
2022-04-25,1854.05,1894.93,1845.48,1859.98,10623991
2022-04-26,1852.51,1884.64,1827.81,1848.59,13076583
2022-04-27,1845.64,1882.81,1836.27,1847.77,4698538
2022-04-28,1805.65,1827.7,1788.34,1807.42,6692183
2022-04-29,1824.16,1831.72,1780.46,1819.0,6646049
2022-05-02,1875.37,1886.24,1836.57,1866.73,1026567
2022-05-03,1849.16,1896.24,1812.34,1856.09,4599467
