Date,Open,High,Low,Close,Volume
2022-01-03,2388.44,2422.01,2347.41,2400.0,5280650
2022-01-04,2425.04,2472.06,2355.89,2415.04,5523535
2022-01-05,2402.56,2429.45,2382.64,2411.78,13988753
2022-01-06,2433.14,2483.19,2401.47,2431.28,5752989
2022-01-07,2470.9,2507.73,2431.45,2476.5,10757999
2022-01-10,2471.68,2526.07,2412.13,2470.34,5310518
2022-01-11,2467.95,2519.32,2422.8,2464.22,11970761
2022-01-12,2520.02,2564.78,2464.58,2511.74,10241937
2022-01-13,2528.28,2588.47,2506.67,2535.72,2730085
2022-01-14,2509.98,2550.29,2489.81,2522.31,3026110
2022-01-17,2530.39,2556.42,2494.64,2539.61,12473170
2022-01-18,2536.5,2559.39,2474.24,2526.39,6641379
2022-01-19,2522.58,2534.47,2500.01,2513.18,13983738
2022-01-20,2523.85,2569.04,2481.25,2521.39,9825150
2022-01-21,2466.91,2493.81,2436.74,2464.43,6519948
2022-01-24,2418.32,2473.52,2360.77,2414.34,7928887
2022-01-25,2391.17,2441.71,2362.28,2398.96,5566701
2022-01-26,2380.54,2421.57,2312.76,2370.72,13528002
2022-01-27,2378.64,2398.79,2345.13,2380.58,9127333
2022-01-28,2352.82,2407.96,2342.09,2355.57,3980672
2022-01-31,2317.02,2370.91,2276.46,2316.58,9236781
2022-02-01,2347.56,2393.01,2301.13,2358.25,11450695
2022-02-02,2344.96,2393.1,2295.45,2352.81,9815282
2022-02-03,2361.29,2403.49,2315.07,2355.68,6202413
2022-02-04,2306.71,2336.06,2265.88,2316.38,1082409
2022-02-07,2304.59,2336.86,2245.73,2302.21,8363280
2022-02-08,2300.37,2336.16,2283.47,2306.24,13016712
2022-02-09,2272.85,2293.41,2239.35,2275.37,14281788
2022-02-10,2281.77,2314.84,2242.67,2286.6,11383749
2022-02-11,2267.83,2285.56,2255.22,2271.11,13213866
2022-02-14,2269.11,2276.64,2212.81,2264.15,14639512
2022-02-15,2244.24,2266.12,2235.57,2248.8,7766886
2022-02-16,2301.31,2355.58,2256.73,2299.78,14866352
2022-02-17,2299.88,2337.22,2283.8,2300.43,9212411
2022-02-18,2275.99,2327.52,2242.87,2272.27,6417755
2022-02-21,2305.76,2327.07,2276.29,2295.73,6131104
2022-02-22,2268.41,2288.57,2251.11,2263.14,4499701
2022-02-23,2263.39,2304.18,2226.2,2269.86,2927716
2022-02-24,2207.13,2248.11,2204.72,2217.53,11310280
2022-02-25,2178.03,2198.75,2145.64,2183.22,10581111
2022-02-28,2191.48,2228.4,2151.54,2189.4,10522362
2022-03-01,2199.91,2230.42,2169.63,2209.83,6241684
2022-03-02,2215.34,2253.95,2184.02,2215.42,6081857
2022-03-03,2215.54,2253.25,2164.89,2213.4,6759420
2022-03-04,2202.8,2224.2,2175.73,2206.46,12292217
2022-03-07,2174.24,2181.87,2137.65,2168.37,10834858
2022-03-08,2142.22,2195.02,2129.69,2150.68,6306490
2022-03-09,2130.75,2170.21,2122.02,2139.84,11032315
2022-03-10,2172.97,2181.39,2132.92,2168.02,7922981
2022-03-11,2177.92,2232.25,2136.74,2178.02,8817209
2022-03-14,2137.03,2146.14,2090.75,2133.01,5893091
2022-03-15,2140.95,2182.84,2097.13,2142.35,4800315
2022-03-16,2128.1,2186.15,2082.63,2133.51,12540004
2022-03-17,2123.98,2137.94,2078.8,2117.23,12756878
2022-03-18,2140.21,2150.56,2092.01,2133.82,7469723
2022-03-21,2165.48,2177.33,2149.02,2161.28,7102545
2022-03-22,2181.52,2210.7,2156.23,2186.5,3252641
2022-03-23,2167.53,2180.78,2126.47,2165.57,1344126
2022-03-24,2155.61,2199.29,2129.71,2158.62,11794122
2022-03-25,2159.42,2181.82,2120.1,2168.27,6107385
2022-03-28,2203.9,2228.07,2159.36,2194.74,11230968
2022-03-29,2175.29,2237.65,2155.98,2183.22,9074444
2022-03-30,2189.26,2225.82,2146.27,2179.44,2137411
2022-03-31,2150.44,2188.83,2115.1,2151.6,2670357
2022-04-01,2115.11,2145.39,2110.92,2121.79,12301119
2022-04-04,2144.44,2181.0,2127.69,2143.54,6939334
2022-04-05,2187.62,2213.37,2152.18,2179.49,7393404
2022-04-06,2183.76,2208.16,2149.04,2178.7,4330922
2022-04-07,2212.78,2222.82,2178.25,2206.02,13088117
2022-04-08,2220.21,2267.08,2170.2,2216.69,5155479
2022-04-11,2204.87,2231.43,2163.01,2200.63,6709635
2022-04-12,2218.99,2230.93,2157.73,2211.27,13876763
2022-04-13,2247.54,2281.01,2218.28,2253.18,12690806
2022-04-14,2253.08,2283.25,2221.46,2253.32,9686594
2022-04-15,2290.33,2346.23,2249.78,2296.74,13154609
2022-04-18,2236.52,2269.45,2212.93,2225.66,11854520
2022-04-19,2258.69,2294.55,2233.39,2248.7,11411392
2022-04-20,2241.78,2263.91,2228.37,2252.15,10242213
2022-04-21,2249.78,2275.08,2212.99,2245.16,14925413
2022-04-22,2258.29,2281.62,2231.63,2248.72,11761556
2022-04-25,2189.16,2208.0,2147.01,2196.17,2315823
2022-04-26,2192.93,2213.78,2171.3,2191.44,4433372
2022-04-27,2211.03,2246.37,2152.33,2201.88,1770692
2022-04-28,2231.53,2259.33,2221.54,2241.98,6867504
2022-04-29,2233.49,2264.1,2185.66,2229.09,9817353
2022-05-02,2204.04,2229.06,2192.04,2208.52,5832091
2022-05-03,2205.57,2207.77,2182.81,2196.25,1673812
2022-05-04,2231.86,2243.22,2172.47,2221.4,3932977
2022-05-05,2241.1,2285.89,2196.06,2231.19,12958726
2022-05-06,2217.46,2264.68,2206.1,2218.03,8797698
2022-05-09,2240.79,2286.72,2198.47,2232.7,7982252
2022-05-10,2244.02,2269.32,2219.03,2236.32,10746734
2022-05-11,2259.22,2279.6,2233.38,2263.32,7616659
2022-05-12,2252.65,2281.09,2205.98,2245.26,4817042
2022-05-13,2227.07,2268.95,2194.28,2237.43,5539170
2022-05-16,2230.03,2276.65,2181.24,2227.88,5969411
2022-05-17,2183.82,2204.97,2168.35,2189.73,1536644
2022-05-18,2190.11,2230.92,2160.49,2198.46,1652416
2022-05-19,2196.95,2223.94,2173.69,2206.29,6210307
2022-05-20,2211.69,2232.73,2173.91,2207.36,12536523
2022-05-23,2198.55,2245.56,2172.44,2202.07,9161562
2022-05-24,2170.46,2197.03,2148.94,2165.59,12162345
2022-05-25,2146.18,2182.53,2143.94,2155.55,2707542
2022-05-26,2143.6,2175.25,2111.38,2147.57,5191896
2022-05-27,2128.6,2157.95,2109.78,2127.76,7086932
2022-05-30,2130.67,2168.47,2103.87,2124.49,2474620
2022-05-31,2131.76,2184.42,2106.74,2135.63,10563454
2022-06-01,2187.56,2237.48,2171.96,2184.81,11381177
2022-06-02,2198.68,2235.65,2144.26,2190.23,2849395
2022-06-03,2200.38,2222.69,2147.69,2197.84,7623063
2022-06-06,2190.84,2237.92,2179.3,2196.7,1989336
2022-06-07,2136.73,2176.47,2112.13,2146.94,14350198
2022-06-08,2155.0,2168.72,2129.74,2147.05,6224237
2022-06-09,2139.09,2196.28,2134.04,2149.38,4138102
2022-06-10,2221.98,2226.46,2161.11,2213.69,6160324
2022-06-13,2210.0,2260.26,2193.17,2209.36,11839587
2022-06-14,2227.87,2249.69,2182.57,2218.13,13294121
2022-06-15,2224.6,2257.33,2185.16,2217.97,11421424
2022-06-16,2198.51,2227.4,2160.34,2187.62,8421289
2022-06-17,2215.04,2269.16,2203.99,2218.35,9450361
2022-06-20,2245.08,2278.81,2183.98,2239.1,6647183
2022-06-21,2258.86,2300.15,2226.12,2261.08,6666912
2022-06-22,2236.68,2251.3,2211.97,2237.13,10460592
2022-06-23,2278.39,2310.46,2251.5,2275.49,5318420
2022-06-24,2246.28,2255.83,2212.97,2237.92,6217084
2022-06-27,2265.28,2298.88,2204.06,2254.36,10044104
2022-06-28,2320.5,2349.58,2270.3,2314.3,12123698
2022-06-29,2285.59,2330.03,2246.69,2287.47,4205228
2022-06-30,2270.8,2285.85,2252.34,2272.59,14453858
2022-07-01,2281.36,2291.19,2231.74,2275.95,6299238
2022-07-04,2256.93,2306.57,2215.81,2262.84,11551957
2022-07-05,2212.7,2235.67,2208.36,2221.36,9882600
2022-07-06,2220.55,2238.07,2168.58,2223.78,7514948
2022-07-07,2191.35,2207.54,2184.95,2196.03,5980137
2022-07-08,2204.58,2262.38,2183.75,2209.08,7717526
2022-07-11,2179.45,2228.43,2166.85,2185.27,9464848
2022-07-12,2216.27,2253.32,2183.92,2226.46,5429899
