Date,Open,High,Low,Close,Volume
2022-01-03,3608.46,3646.8,3513.23,3600.0,12705508
2022-01-04,3576.65,3594.68,3527.88,3572.72,10573200
2022-01-05,3587.11,3647.33,3520.02,3587.54,3145977
2022-01-06,3506.24,3598.99,3457.13,3519.15,11499637
2022-01-07,3501.74,3538.32,3476.4,3510.11,7714662
2022-01-10,3537.7,3600.6,3509.48,3540.57,3226217
2022-01-11,3543.17,3604.41,3479.5,3539.65,1632731
2022-01-12,3491.22,3537.47,3469.6,3490.74,9750364
2022-01-13,3482.36,3556.13,3430.88,3489.75,3214826
2022-01-14,3532.55,3596.99,3516.12,3550.07,4260802
2022-01-17,3595.09,3649.48,3540.14,3595.22,11409971
2022-01-18,3586.2,3612.41,3568.57,3593.91,9905865
2022-01-19,3637.55,3697.38,3604.19,3629.03,5590778
2022-01-20,3599.47,3682.61,3532.59,3616.69,10689065
2022-01-21,3559.05,3576.55,3533.74,3556.04,13614541
2022-01-24,3539.69,3567.71,3494.22,3524.13,6149387
2022-01-25,3568.53,3668.19,3547.35,3580.19,6396910
2022-01-26,3570.38,3619.3,3496.46,3571.39,10869865
2022-01-27,3549.16,3617.32,3532.01,3563.72,11440541
2022-01-28,3558.54,3636.52,3525.65,3554.08,12287967
2022-01-31,3624.63,3692.88,3553.18,3622.8,8827881
2022-02-01,3679.38,3744.08,3660.86,3682.79,12175327
2022-02-02,3766.43,3844.54,3675.24,3765.63,4561497
2022-02-03,3775.71,3844.62,3678.05,3760.8,8318898
2022-02-04,3761.63,3826.44,3719.33,3773.09,1262199
2022-02-07,3699.32,3770.97,3666.94,3717.06,3870524
2022-02-08,3786.8,3821.15,3727.51,3773.15,2137273
2022-02-09,3733.19,3821.09,3638.33,3730.32,8441537
2022-02-10,3754.24,3810.47,3717.97,3739.63,4867293
2022-02-11,3703.42,3724.49,3610.64,3699.84,7107511
2022-02-14,3690.7,3761.19,3597.84,3679.29,14787878
2022-02-15,3647.17,3703.06,3559.52,3649.74,1033734
2022-02-16,3637.87,3651.94,3579.22,3628.8,1213299
2022-02-17,3625.41,3668.25,3587.55,3610.5,3771034
2022-02-18,3594.56,3639.9,3550.01,3591.97,9531336
2022-02-21,3611.6,3704.89,3592.2,3623.17,1671253
2022-02-22,3576.14,3616.97,3495.77,3584.43,10941793
2022-02-23,3582.79,3670.99,3542.74,3593.62,7688304
2022-02-24,3629.48,3697.47,3581.17,3638.69,7911616
2022-02-25,3614.34,3643.41,3566.95,3621.35,2006152
2022-02-28,3598.67,3684.57,3511.96,3596.68,7615379
2022-03-01,3592.88,3644.48,3549.12,3589.72,10082420
2022-03-02,3630.74,3672.72,3579.15,3633.41,11105810
2022-03-03,3646.03,3694.23,3606.52,3641.83,6626211
2022-03-04,3608.7,3704.16,3568.44,3623.86,4262331
2022-03-07,3627.76,3683.2,3562.59,3642.77,4993767
2022-03-08,3592.19,3635.92,3560.64,3604.01,4825091
2022-03-09,3630.61,3657.47,3551.72,3629.95,10040776
2022-03-10,3635.76,3686.14,3618.65,3646.19,7914152
2022-03-11,3628.5,3711.29,3590.06,3636.38,6015551
2022-03-14,3603.71,3659.36,3528.46,3607.3,9026261
2022-03-15,3587.88,3610.88,3556.15,3576.73,7636393
2022-03-16,3579.77,3627.2,3544.62,3597.26,7701354
2022-03-17,3648.33,3685.34,3557.13,3642.89,4689638
2022-03-18,3627.22,3707.29,3575.98,3621.11,5486856
2022-03-21,3650.01,3682.3,3566.59,3639.14,7955653
2022-03-22,3580.06,3652.91,3532.82,3564.64,10583663
2022-03-23,3528.2,3597.35,3514.57,3545.22,2208957
2022-03-24,3533.25,3575.96,3526.31,3545.53,7232302
2022-03-25,3528.26,3594.9,3462.1,3514.69,2141766
2022-03-28,3481.73,3532.66,3427.79,3483.18,10165252
2022-03-29,3463.54,3527.74,3426.94,3461.31,7259471
2022-03-30,3478.47,3558.5,3395.19,3472.81,12752320
2022-03-31,3473.9,3488.51,3418.93,3467.69,1524658
